#Tmax,,,,,,,,,,,,,,,,,,,,,,,,,,,
,eco1,eco2,eco3,eco4,eco5,eco6,eco7,eco8,eco9,eco1,eco2,eco3,eco4,eco5,eco6,eco7,eco8,eco9,eco1,eco2,eco3,eco4,eco5,eco6,eco7,eco8,eco9
TIMESTEP,TMAX_C,TMAX_C,TMAX_C,TMAX_C,TMAX_C,TMAX_C,TMAX_C,TMAX_C,TMAX_C,VAR,VAR,VAR,VAR,VAR,VAR,VAR,VAR,VAR,STDEV,STDEV,STDEV,STDEV,STDEV,STDEV,STDEV,STDEV,STDEV
2000-01-01T00:00:00Z,16.81,16.81,16.81,16.81,16.81,16.81,16.81,16.81,16.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-02-01T00:00:00Z,21.57,21.57,21.57,21.57,21.57,21.57,21.57,21.57,21.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-03-01T00:00:00Z,24.63,24.63,24.63,24.63,24.63,24.63,24.63,24.63,24.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-04-01T00:00:00Z,25.36,25.36,25.36,25.36,25.36,25.36,25.36,25.36,25.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-05-01T00:00:00Z,32.54,32.54,32.54,32.54,32.54,32.54,32.54,32.54,32.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-06-01T00:00:00Z,34.16,34.16,34.16,34.16,34.16,34.16,34.16,34.16,34.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-07-01T00:00:00Z,34.87,34.87,34.87,34.87,34.87,34.87,34.87,34.87,34.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-08-01T00:00:00Z,34.01,34.01,34.01,34.01,34.01,34.01,34.01,34.01,34.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-09-01T00:00:00Z,29.69,29.69,29.69,29.69,29.69,29.69,29.69,29.69,29.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
